run_id,model,run_dir,epochs,learning_rate,optimizer,weight_decay,scheduler,loss,best_epoch,val_mean_iou,test_mean_iou,test_pixel_accuracy
optuna_all_ep10_deeplabv3plus_resnet50_trial010_ep10_lr9p53884em05_adam_wd0_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial010_ep10_lr9p53884em05_adam_wd0_plateau,10,9.538839436462497e-05,adam,0.0,plateau,,9,0.559030,,
optuna_all_ep10_deeplabv3plus_resnet50_trial011_ep10_lr9p01761em05_adam_wd0_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial011_ep10_lr9p01761em05_adam_wd0_plateau,10,9.017613421524532e-05,adam,0.0,plateau,,9,0.562304,,
optuna_all_ep10_deeplabv3plus_resnet50_trial012_ep10_lr6p23099em05_adam_wd0_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial012_ep10_lr6p23099em05_adam_wd0_plateau,10,6.230989238482034e-05,adam,0.0,plateau,,9,0.549160,,
optuna_all_ep10_deeplabv3plus_resnet50_trial013_ep10_lr5p05967em05_adam_wd0_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial013_ep10_lr5p05967em05_adam_wd0_plateau,10,5.059673516443075e-05,adam,0.0,plateau,,9,0.545826,,
optuna_all_ep10_deeplabv3plus_resnet50_trial014_ep10_lr7p06732em05_adam_wd0_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial014_ep10_lr7p06732em05_adam_wd0_plateau,10,7.067323931843216e-05,adam,0.0,plateau,,9,0.554624,,
optuna_all_ep10_deeplabv3plus_resnet50_trial015_ep10_lr3p88678em05_adam_wd0_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial015_ep10_lr3p88678em05_adam_wd0_plateau,10,3.886778682968846e-05,adam,0.0,plateau,,10,0.537868,,
optuna_all_ep10_deeplabv3plus_resnet50_trial016_ep10_lr8p92003em05_adam_wd0_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial016_ep10_lr8p92003em05_adam_wd0_plateau,10,8.920029306136654e-05,adam,0.0,plateau,,9,0.563251,,
optuna_all_ep10_deeplabv3plus_resnet50_trial017_ep10_lr6p17783em05_adam_wd0_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial017_ep10_lr6p17783em05_adam_wd0_plateau,10,6.177827793701867e-05,adam,0.0,plateau,,9,0.551628,,
optuna_all_ep10_deeplabv3plus_resnet50_trial018_ep10_lr5p02531em05_adamw_wd9p81823em05_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial018_ep10_lr5p02531em05_adamw_wd9p81823em05_plateau,10,5.025306966392659e-05,adamw,9.818226878189116e-05,plateau,,9,0.545060,,
optuna_all_ep10_deeplabv3plus_resnet50_trial019_ep10_lr9p75992em05_adam_wd0_plateau,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial019_ep10_lr9p75992em05_adam_wd0_plateau,10,9.759918974787204e-05,adam,0.0,plateau,,9,0.565727,,
